far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
2,1,4,4,4,5,0.4
1,0,0,1,1,1,0.5
3,0,5,4,6,7,0.428571429
1,0,1,0,0,1,0.5
6,4,12,11,11,19,0.315789474
4,9,15,18,20,26,0.153846154
2,0,1,2,2,2,0.5
3,1,6,5,4,8,0.375
4,5,4,5,8,11,0.363636364
1,0,1,0,1,1,0.5
2,4,4,5,5,8,0.25
1,0,0,1,0,1,0.5
22,26,66,65,72,100,0.22
18,18,64,57,63,85,0.211764706
13,19,38,38,47,62,0.209677419
11,20,28,31,33,51,0.215686275
6,5,13,14,12,20,0.3
11,5,26,22,29,38,0.289473684
1,0,1,0,0,1,0.5
4,4,15,11,13,20,0.2
3,3,4,5,5,8,0.375
3,0,3,4,3,4,0.75
4,1,3,7,3,7,0.571428571
16,12,42,37,44,60,0.266666667
6,3,7,9,9,14,0.428571429
5,3,11,9,10,15,0.333333333
3,7,10,10,9,18,0.166666667
1,0,1,0,1,1,0.5
2,0,2,2,2,2,0.5
12,19,37,40,43,59,0.203389831
8,8,12,11,12,22,0.363636364
11,16,29,33,35,48,0.229166667
1,0,0,1,1,1,0.5
1,0,1,1,0,1,0.5
1,0,1,1,1,1,0.5
6,2,17,12,14,20,0.3
3,5,5,6,9,12,0.25
1,0,1,1,0,1,0.5
3,2,3,5,6,6,0.5
1,0,1,1,1,1,0.5
10,9,10,16,11,23,0.434782609
2,0,0,2,1,2,0.5
1,0,1,0,1,1,0.5
14,13,25,31,30,43,0.325581395
1,0,0,1,0,1,0.5
1,0,1,1,0,1,0.5
1,0,1,1,1,1,0.5
1,0,0,0,1,1,0.5
9,8,15,16,14,28,0.321428571
5,6,16,15,15,24,0.208333333
19,24,68,73,67,100,0.19
1,0,1,0,1,1,0.5
6,6,20,20,19,29,0.206896552
6,3,9,13,11,15,0.4
2,3,9,9,4,13,0.153846154
9,8,17,19,17,27,0.333333333
6,2,9,8,7,14,0.428571429
6,3,13,12,14,18,0.333333333
10,15,29,36,22,50,0.2
10,7,29,33,27,40,0.25
2,0,2,1,1,2,0.5
9,7,16,12,19,26,0.346153846
2,3,8,9,8,12,0.166666667
10,15,20,23,24,37,0.27027027
7,3,16,13,14,20,0.35
1,0,0,1,1,1,0.5
19,18,61,65,48,86,0.220930233
7,0,6,4,4,9,0.777777778
1,0,0,1,1,1,0.5
2,0,1,2,2,3,0.666666667
10,16,30,31,33,49,0.204081633
1,0,1,0,0,1,0.5
1,0,0,1,1,1,0.5
5,3,6,8,6,10,0.5
1,0,1,1,0,1,0.5
9,9,29,26,24,41,0.219512195
4,1,5,4,2,7,0.571428571
9,12,20,24,19,36,0.25
12,17,50,52,44,73,0.164383562
3,3,5,5,5,8,0.375
4,2,11,8,10,15,0.266666667
2,2,5,6,7,9,0.222222222
4,8,8,10,8,17,0.235294118
2,0,5,4,3,5,0.4
5,5,18,17,18,25,0.2
6,4,12,9,14,17,0.352941176
1,0,1,0,0,1,0.5
4,1,9,7,7,11,0.363636364
4,4,6,9,7,11,0.363636364
1,0,1,1,0,1,0.5
4,7,14,15,14,22,0.181818182
2,6,14,11,16,20,0.1
3,0,4,3,2,4,0.75
2,1,4,4,3,6,0.333333333
1,0,1,1,0,1,0.5
3,1,3,2,3,4,0.75
3,5,11,14,8,17,0.176470588
4,5,14,13,11,19,0.210526316
7,8,23,16,20,32,0.21875
14,11,29,30,31,44,0.318181818
2,1,3,4,2,5,0.4
1,0,1,1,0,1,0.5
6,8,20,18,21,30,0.2
1,0,1,1,1,1,0.5
14,14,37,34,38,55,0.254545455
17,14,31,36,37,55,0.309090909
12,10,26,25,25,39,0.307692308
2,1,2,2,2,4,0.5
6,7,18,21,17,29,0.206896552
16,18,55,47,48,79,0.202531646
7,7,18,18,14,27,0.259259259
3,2,1,5,1,5,0.6
3,0,8,6,4,8,0.375
5,9,22,23,18,33,0.151515152
5,2,5,8,5,12,0.416666667
1,0,1,0,1,1,0.5
7,6,16,15,16,25,0.28
1,0,0,0,1,1,0.5
15,16,37,42,36,55,0.272727273
6,2,9,9,10,13,0.461538462
1,0,0,1,0,1,0.5
1,0,1,1,1,1,0.5
2,2,3,4,1,5,0.4
2,2,3,7,3,7,0.285714286
1,0,1,1,0,1,0.5
2,2,5,6,5,8,0.25
2,1,2,2,2,4,0.5
7,4,9,13,10,16,0.4375
3,0,8,5,3,9,0.333333333
7,7,17,19,20,27,0.259259259
10,14,38,35,41,55,0.181818182
3,6,11,15,11,17,0.176470588
4,4,7,10,7,13,0.307692308
17,20,41,47,42,67,0.253731343
12,15,31,38,32,54,0.222222222
13,7,26,24,23,37,0.351351351
1,0,0,1,1,1,0.5
1,0,1,0,1,1,0.5
2,1,3,2,2,4,0.5
1,0,0,0,0,1,0.5
1,0,1,1,1,1,0.5
5,5,10,9,15,18,0.277777778
7,3,25,25,19,31,0.225806452
2,5,7,11,7,13,0.153846154
4,3,11,10,11,15,0.266666667
1,0,0,1,1,1,0.5
4,4,10,7,7,14,0.285714286
5,4,12,14,12,19,0.263157895
6,6,13,14,14,23,0.260869565
3,2,2,4,4,5,0.6
2,0,3,1,1,3,0.666666667
2,1,5,6,5,8,0.25
3,0,3,1,2,3,0.5
2,2,4,4,3,6,0.333333333
8,3,11,11,8,16,0.5
1,0,1,1,1,1,0.5
